Obtain; Получать
Relate to; Относится к
Particular; Особенный, отдельный
Refer to; Ссылаться, относиться
To be referred to as; Называться
Carry out; Проводить
Approach; Подход, метод
Specimen; Пробный экземпляр
Validity; Достоверность, правильность
Conduct; Проводить
Occur; Происходить
Observe; Наблюдать
Measurements; Измерения
Gather; Собирать
Reach a conclusion; Прийти к выводу
Evidence; Признак, данные
Suggest; Предлагать
Plural; Множественный
Approach a problem; Решать задачу
Breakthrough; Прорыв
Pioneer; Выполнять впервые
