Impact; Влияние 
Household appliances; Бытовая техника
Consumption; Потребление
Greenhouse effect; Парниковый эффект
Emissions; Выбросы
Lifestyle; Стиль жизни
Developing countries; Развивающиеся страны
Fossil fuels; Ископаемое топливо 
Rainforests; Тропический лес, влажные джунгли
Carbon dioxide CO2; Углекислый газ 
Citizen; Гражданин
Resources; Ресурсы 
Solar panels; Солнечные батареи
Waste; Отходы (отбросы)
To take a deep dive into the data; Изучить вопрос глубоко
To increase; Возрастать
To be in decline; Снижаться
Nuclear plant; АЭС 
Fossil fuels; Ископаемые виды топлива
Dung; Навоз
Charcoal; Древестный уголь 
Relatively; Относительно 
To make huge strides; Делать большие шаги (развиваться)
To reduce emissions; Сократить выбросы
Average; Средний
To be released; Выпускать 
A study, a survey; Исследование, опрос
Entrepreneur; Предприниматель
I jumped at the chance; Воспользоваться случаем
To crank out; Массовое производство
Assembly lines; Линия сборки, конвеер
Promising (presentation, person); Обещающий
To skip (information);  Пропустить 
Bulky; Громоздкий
To go through the numbers; Проанализировать 
A startling finding; Потрясающее открытие 
It works the opposite; Работает наоборот
To triple the amount of money; Утроить количество денег
To redefine sth; Переопределять что-то
Stem cells; Стволовые клетки
To head a team; Возглавлять команду
To pursue a goal; Преследовать цели
To be a boon to (science); Быть благом (находкой) для науки
To pose ethical questions; Ставить этические вопросы
Science races ahead; Наука мчиться вперед
In an instant; В одно мгновение 
To come up with an interim solution; Придумать промежуточное решение
To produce real- time translation; Переводить в реальном времени
To be default; Быть по умолчанию
To maintain eye contact; Поддерживать зрительный контакт
To be panned for subpar design; Быть раскритикованным за низкокачественный дизайн
Clunky hardware; Громоздкая аппаратура
The prospect of quantum computers; Перспектива квантовых компьютеров
To come with a puzzle; Сопровождаться загадкой
An enticing possibility; Заманчивая возможность 
To run into complexities far beyond the capability of sth; Столкнуться с трудностями, которые выходят за пределы возможностей чего - либо
A clip- on/ hand- held mike; Петелька (прикрепленный микрофон)
Bear with me a minute; Потерпите минутку
I'm a bag of nerves; Комок нервов
I've lost my place/train of thoughts; Я теряюсь в своих мыслях 
A fuzzy/smudged image; Нечеткое изображение 
To make a picture sharper; Сделать картинку четче
To be stuck in recession; Застрять в упадке
To work over time; Работать сверхурочно
To have tight deadlines; Иметь жесткие сроки выполнения работ
To earn a decent salary; Зарабатывать прилично
To have a lot on one's plate; Иметь плотный график
To have a few scraps with smb; Повздорить (с кем то поругаться)
To have an argument; Повздорить 
To search for a vacancy; Искать вакансию
To prepare a resume; Подготовить резюме 
To attach a cover letter; Прикрепить рекомендательное письмо
To set up a business; Устроить бизнесс (открыть)
To place luggage in overhead compartment; Разместить багаж в верхнем отделении
To fasten seatbelts/straps; Пристегнуть ремни безопасности 
For safety reasons; По соображениям безопасности
Throughout the flight; На протяжение всего полета
Seats are in the upright position; Сиденья в вертикальном положении
Take off/ land; Взлететь / приземлиться 
Emergency exits on an aircraft; Аварийные выходы на самолете
To inflate a life jacket; Надеть жилет безопасности
Cabin crew; Бортпроводники
A direct/connecting/long-haul flight; Прямой/ стыковочный/ дальний рейс
To suffer from Jet lag; Страдать от смены часовых поясов
An aisle/window seat; Сиденье в проходе/ у окна 
A boarding pass; Посадочный талон 
The flight is boarding/ the flight is delayed; Рейс идет на посадку/ рейс отменен
Check-in desk; Стойка регистрации 
Baggage reclaim; Выдача багажа 
Customs; Таможня
Prohibited items (liquids, sharp objects); Запрещенные предметы (жидкости, острые объекты)
Plenary, parallel, open session; Пленарное, паралельное, открытое заседание 
Call for papers; Требование документов (бумаг)
A chairperson, keynote speaker, participant; Председатель, основной докладчик, участник
Conference proceedings; Материалы конференций 
A venue; Место проведений
Questions from the floor;  Вопрос из зала
Interested parties; Заинтересованное лицо
To be peer viewed; Быть рецензируемым *
Relevant, up-to-date concise speech; Уместная, актуальная лаконичная речь
Panel discussions; Панельные обсуждения (дисскусии)
Renowned experts in the domain; Известные специалисты в своей области
Present the state-of-the-art; Представить современное состояние
Take place simultaneously; Происходят одновременно
A distinguished guest; Уважаемый (почетный) гость 
Findings; Выводы
To fight poverty; Бороться с бедностью 
To be transparent about sth; Быть прозрачным в отношении чего - либо
To promote democracy; Продвигать демократию 
Networking; Сетевое взаимодействие, сетевая работа, общение, etc.
I’m pleased to be applying for the position of; Я рад подать заявку на должность 
I was ecstatic to find this opening at; Я был в восторге от того, что нашел вакансию в 
Make me a perfect fit for the role; Сделайте меня идеальным кандидатом на эту роль
I have a wealth of experience in; Я имею богатый опыт в 
Conduct a research; Провести исследование 
Compile written reports and analyses of a finding; Составлять писменные отчеты и анализировать находки
To hone interview, research, and writing skills; Отточить (улучшить навык) интервью, ислледование, навыки письма
A (6,500)-word thesis; Тезис на 6500 слов
Require extensive time management and collaboration efforts; Требуют широкой оптимизации времени и совместную работу
Highlights from one’s relevant experiences; Основное (основные моменты) из соответсвующего(актуального) опыта
What draws me most to (Company); Что меня больше всего привлекает в (компании)
I can lend some expertise to (a field); Я могу поделиться опытом (в области)
At your earliest convenience; При первой возможности
Please reach me by email at [Email Address] or by phone at [Phone Number]; Пожалуйста, свяжитесь со мной по эмейлу (Электронной почте) или телефону (Телефонному номеру)
To apply for a position online; Подать заявку на вакансию онлайн (в реальном времени)
To offer a full-time post; Предлагать постоянную (полностью загруженную) должность
To do a (one)-year apprenticeship with a company; Пройти годичную стажировку в компании
To be short-listed; Быть "на карандаше"
To mess up an interview; Испортить интервью 
I am writing in response to; Я пишу в ответ на
To enclose a current CV; Приложить текущее (актуальное) резюме
To be suitable for a position; Быть подходящим для должности
For a number of reasons; По ряду причин
I possess the relevant experience; У меня есть соответствующий опыт
I gained an invaluable experience; Я получил бесценный опыт
On top of that; Более того
An independent, motivated worker; Независимый, мотивированый работник
To be able to act independently and as part of a team; Иметь возможность действовать самостоятельно (независимо) / как часть группы
I enjoy new challenges; Мне нравяться новые вызовы
To provide references; Даю ссылки (Прилагаю отзывы из прошлой компании обо мне)
To whom it may concern; Для предъявления по месту требования
A warm-up question; Вопрос-разминка
Poor time management skills; Плохое умение расчитывать время
To portray as a weakness; Описывать как слабость 
Requirement and expectations; Требования и ожидания
To deflect; Отклонить 
Break your chances; Упустить шанс
Salary on offer; Предлагаемая заработная плата
The rule of thumb; Простое, надежное правило. практический способ
To tackle; Справиться с чем-то 
What you will contribute to the company; Что вы принесете компании
To keep costs down; Уменьшить затраты
An average remuneration; Средняя оплата 
A killer question; Вопрос на засыпку
In a snapshot; В кратце
A job opening/vacancy; Вакансия. предложение о работе
References; Отсылки, ссылки
An alternative solution to a problem; Альтернативное решение проблемы 
To tighten a law; Ужесточить закон
Strong links between; Прочные связи между
A fundamental flaw in smt; Фундаментальный недостаток в чём-то
A misguided policy; Ошибочная политика
To have a massive impact on; Оказать огромное влияние на  
A growing concern about; Растущее беспокойство по поводу
To thrive in an urban environment; Процветать в городской среде
Badly depopulated; Сильно обезлюдили
To offer a broad spectrum of smt; Предлагать широкий спектр чего - либо
An idyllic life; Идиллическая (беззаботная) жизнь
To eat up (time/money);  Съесть (время / деньги)
Competitive nature; Соревнавательный характер
Urban drift; Городской дрифт (?направление языкого развития?, смещение, отклонение)
The green belt; Зеленый пояс
A close-knit community; Сплоченое общество
Narrow-minded attitude; Ограниченное отношение
To fall through safety nets; Проводить через механизмы социальной защиты (социального обеспечения, социальной помощи)
To be perfectly possible; Быть вполне возможным
A side-effect of city life; Побочный эффект городской жизни
To become a growing issue; Стать растущей проблемой
To generate widespread interest; Вызвать всеобщий интерес
